isbn13,title,description,author
9788978496926,"New 근육운동가이드 - 해부학적으로 접근한 체계적인 근육 트레이닝, 4차 개정판",제대로 된 운동법과 근육의 움직임을 알면 보다 균형 잡힌 몸매를 만들 수 있다! 전 세계에서 200만 부 이상 판매된 베스트셀러 《NEW 근육운동가이드》 4차 개정판에서는 신체 각 부위별 운동방법을 근육해부도를 통해 알기 쉽게 설명한다.,"프레데릭 데라비에 (지은이), 정구중, 이창섭 (옮긴이)"
9791197606946,향수가 된 식물들 - 에르메스 조향사가 안내하는 향수 식물학의 세계,"전 세계적으로 손꼽히는 마스터 조향사이자 프랑스의 유명 브랜드 에르메스의 수석 조향사였던 장 클로드 엘레나. 그가 ‘향수 식물학’이라는 새로운 테마로 우리 곁에 찾아왔다. 향수와 식물이라니, 이름만으로도 설레고 기대되는 조합이다.","장 클로드 엘레나 (지은이), 카린 도어링 프로저 (그림), 이주영 (옮긴이)"
9791160079494,바람공방의 마음에 드는 니트,"세계적으로 유명한 뜨개 디자이너 ‘바람공방’! 우리나라에서는 ‘가제코보’라는 이름으로 잘 알려져 있다. 이 책에서는 바람공방이 사심을 듬뿍 담아, 세련된 무늬, 예쁜 색의 실로 디자인한 니트웨어와 소품을 만나볼 수 있다.","바람공방 (지은이), 남궁가윤 (옮긴이)"
9791186745588,ADHD 우울증 치매 이렇게 고쳐라 - 기능의학 선구자 마크 하이먼 박사의 뇌 질환 완치 혁명,"누구나 쉽게 따라 할 수 있도록 울트라마인드 솔루션 프로그램의 원리와 실천법, 섭취해야 할 영양보충제, 피해야 할 음식 등을 자세히 수록하고 있다. 울트라마인드 솔루션 기본 6주 프로그램뿐만 아니라 뇌와 기분, 신체에 대한 새로운 연구 성과와 지식을 담았다.","마크 하이먼 (지은이), 이재석 (옮긴이)"
9791169780117,리오넬 메시,선수 시리즈 12번째 타이틀로 다루는 인물은 바로 메시이다. 전작들에 비해 현란한 인포그래픽 콘텐츠가 적다. 사진 역시 추리고 추려 최적의 이미지만을 선별했다. 단순히 멋있고 아름다운 사진을 넘어 메시의 스토리와 저자의 메시지에 부합하는 이미지들을 정확하게 매칭하기 위해 최선을 다했다.,"선수 에디터스, 한준 (지은이)"
9791193228005,배부른 영양 결핍자,"건강 커뮤니케이터 노윤정 약사는 현대인에게 흔한 건강 문제가 대부분 ‘배부른 영양 결핍’ 상태에서 비롯된다고 지적한다. 대표적 생활습관병을 약, 영양 보충제, 음식을 활용하여 관리하고 예방하는 방법을 소개한다.",노윤정 (지은이)
9788962625714,"누구나 알지만 아무도 모르는 소식의 과학 - 늙지 않고, 살찌지 않고, 병 걸리지 않는 식습관","『정재훈의 생각하는 식탁』을 통해 식탁 위의 담론을 과학의 장으로 끌어들인 저자 정재훈 약사가 이번에는 ‘소식’의 이모저모를 완전히 파헤친다. 저자는 막연히 ‘좋다’는 이야기를 넘어서, 소식의 기전과 효능을 과학적으로 분석한다.",정재훈 (지은이)
9791130318370,새새미 아뜰리에 컬러링북,"언제나 다채로운 작품이 전시되고 오래된 공간의 이야기를 품고 있는 미술관. 이곳을 즐기는 것만으로도 예술의 즐거움은 배가 된다. 책에서는 여행처럼, 산책처럼 즐길 수 있는 미술관을 알려주고 작가와 작품에대한 소개 그리고 미술관 주변의 먹거리·놀거리를 이야기와 컬러링으로 소개한다.",이혜지 (지은이)
9791160079401,픽셀클로젯의 말랑말랑 솜인형 옷 만들기,"솜인형 옷 만드는 법을 연구하고 직접 만든 패턴을 공유해온 ‘픽셀클로젯’! 패턴을 제작하고 수정하며 쌓인 노하우와 팁을 책 한 권에 알차게 담았다. 맨투맨, 바지 등의 데일리 아이템부터 정장 재킷, 털조끼와 귀도리 등 특별한 아이템까지 27가지 인형 옷과 아이템 만드는 법을 알려준다.",픽셀클로젯(고홍현) (지은이)
9791158463885,이준명의 맨몸운동 BASIC - 초간단 루틴으로 최강의 몸을 만든다!,"맨몸운동 대회 우승과 다양한 활동으로 국내를 대표하는 맨몸운동 최강자로 손꼽히는 저자가 부상 없이 10년간 맨몸운동을 이어오며 터득한, 가장 효과적이고 안전한 방식의 운동법을 쉽고 간결하게 정리해 출간했다.","이준명 (지은이), 김진석 (감수)"
9791197741296,노스탤지어 Nostalgia (무선보급판) - 초록담쟁이의 컬러링북,늘 자연을 닮아가는 소박한 그림으로 이야기를 건네는 작가 초록담쟁이의 컬러링북 《노스탤지어》가 보급판으로 다시 출간되었다. 보는 것만으로도 우리의 아름다운 날들을 회상하게 하는 그녀의 그림은 지친 우리의 마음을 늘 따뜻하게 어루만진다.,초록담쟁이 (지은이)
9791191994162,3DAYS 디톡스 다이어트 - 지방·독소 급찐급빠 샐러드 다이어트,"'살'의 원인이 되는 지방과 부기, 독소를 부위별로 정확하고 빠르게 제거해 체질 개선을 통한 올바른 체중 감량을 도울 수 있는 80개의 샐러드 레시피와 10개의 단기 디톡스 프로그램을 소개한다.",정세련 (지은이)
9791160079333,털실타래 Vol.4 (2023년 여름호),"〈털실타래〉는 현재 전 세계에서 큰 사랑을 받고 있는 최고의 뜨개 & 핸드메이드 잡지다. 이번에 출간되는 &lt;털실타래 Vol.4&gt;의 주제는 시원하게 입기 좋은 ‘심플한 여름 스타일’로, 여름을 위한 옷과 패션 아이템을 소개한다.","일본보그사 (지은이), 강수현, 김수연, 남가영, 배혜영 (옮긴이)"
9791160322026,4주 원 플레이트 다이어트 - 믿고 따라 하는 다이어터 최희정의,"원 플레이트 다이어트의 특징은 식이섬유가 풍부하다는 점이다. 채소, 과일, 통곡물 등의 식이섬유를 섭취하면 렙틴이라는 호르몬이 활성화되어 쉽게 포만감을 느낄 수 있다. 따라서 많이 먹기 전부터 배부름을 느끼기 때문에 과식이나 폭식을 예방할 수 있고 체중 감량에 도움이 된다.",최희정 (지은이)
9791168030664,"나도 캘리애처럼 손글씨 잘 쓰고 싶어 워크북 2 (스프링) - 인생 문장 편, 한 권으로 끝내는 또박체와 흘림체 수업","많은 독자들의 요청으로 캘리애의 새로운 서체이자 예스럽고 고풍스러운 느낌의 ‘사극체’를 추가하고, 구성을 세분화해 연습 분량을 늘렸다. 온·오프라인으로 10년 가까이 여러 수강생들을 가르쳐 온 캘리애의 노하우를 가득 채운 세심한 손글씨 워크북이 이렇게 또 한 권 탄생했다.",배정애 (지은이)
9791191013535,속세맛 다이어트 레시피 - -25Kg! 단식하지 않고 맛있게 살 빼는,"동식물성 단백질 재료와 몸에 좋은 탄수화물, 건강한 대체 재료를 사용해 든든하면서 맛있게 먹을 수 있는 고단백 저탄수화물 저칼로리 레시피를 92가지담았다. 이 책에 수록된 메뉴들은 다이어트 요리라고는 믿기 힘들 정도의 풍부한 맛과 레스토랑에서 파는 듯한 훌륭한 비주얼이 특징이다.",황은학 (지은이)
9791130643410,나지의 다이어트 레시피 - 오직 나를 위한 예쁘고 날씬한 한 끼,"손맛 부심 최고, 어떤 요리든 뚝딱 쉽게 만드는 유튜버 나지의 초간단 다이어트 레시피를 모았다. 나지만의 시크릿 장바구니 목록부터 한 가지 재료로 세 끼 연속 맛있게 먹는 법, 식이 만족도를 높이는 플레이팅 노하우, 미처 알지 못했던 다이어트 식재료 활용법 등을 담았다.",나지(이효영) (지은이)
9791140704651,살 빼는 게 쉬워서 양조절 다이어트,2022년 &lt;맛있는 게 좋아서 양조절 다이어트&gt;도서로 건강한 다이어트 레시피를 제안한 인플루언서 보라의 두 번째 책. 더 빠르고 확실한 감량이 필요한 독자를 위해 준비했다.,한아름 (지은이)
9791168126237,"8주간의 기적 여자 운동 편 - 하루 30분, 40일 만에 완성되는 슬림&탄탄 명품 바디","수많은 연예인들의 몸을 명품 바디로 새롭게 디자인하는 스타 트레이너, 조명기의 ‘8주간의 기적’ 운동법을 담은 두 번째 책. 평생 살 빼기에 진심인 여자들, 운동에 미친 일명 '쇠질하는 여자'들을 위한 운동법이다. 체지방은 덜어내고 슬림하면서도 탄탄한 근육을 입혀주는 '하루 최소 30분,  8주 요일별 운동법&식단'을 담았다.",조명기 (지은이)
9791197884139,손글씨 잘 배워서 잘 써먹기 - 시도반듯체 따라쓰기&다양한 손글씨 활용방법까지 한 권에,"손글씨 잘 쓰는 시도 작가의 ‘시도반듯체’를 남녀노소 누구나, 쉽게, ‘사각사각’ 기분 좋게 배울 수 있도록 만들었다. 멋스럽게 쓰는 캘리그라피와 영문 글자까지 도전해 볼 수 있도록 단계별로 구성했다. 단계에 따라 차근차근 써 내려가다 보면 시도 작가처럼 잘 쓰게 될 수 있을 것이다.",시도쌤(신은정) (지은이)
